"Symbol","Name","Sector"
"BCO","Brinks","Industrials","Equity"
"BCOR","Blucora Inc","Financials","Equity"
"BCOV","Brightcove Inc","Information Technology","Equity"
"BCPC","Balchem Corp","Materials","Equity"
"BCRX","Biocryst Pharmaceuticals Inc","Health Care","Equity"
"BDC","Belden Inc","Information Technology","Equity"
"BDGE","Bridge Bancorp Inc","Financials","Equity"
"BDSI","Biodelivery Sciences International","Health Care","Equity"
"BDTX","Black Diamond Therapeutics Inc","Health Care","Equity"
"BEAM","Beam Therapeutics Inc","Health Care","Equity"
"BEAT","Biotelemetry Inc","Health Care","Equity"
"BE","Bloom Energy Class A Corp","Industrials","Equity"
"BECN","Beacon Roofing Supply Inc","Industrials","Equity"
"BELFB","Bel Fuse Inc Class B","Information Technology","Equity"
"BFC","Bank First Corp","Financials","Equity"
"BFIN","Binkfinancial Corp","Financials","Equity"
"BFS","Saul Centers Reit Inc","Real Estate","Equity"
"BFST","Business First Bancshares Inc","Financials","Equity"
"BFYT","Benefytt Technologies Inc Class A","Financials","Equity"
"BGCP","BGC Partners Inc Class A","Financials","Equity"
"BGS","B and G Foods Inc","Consumer Staples","Equity"
"BGSF","BG Staffing Inc","Industrials","Equity"
"BHB","Bar Harbor Bankshares","Financials","Equity"
"BH","Biglari Holdings Incinary Class B","Consumer Discretionary","Equity"
"BHC","Virnetx Holding Corp","Information Technology","Equity"
"BHE","Benchmark Electronics Inc","Information Technology","Equity"
"BHLB","Berkshire Hills Bancorp Inc","Financials","Equity"
"BHVN","Biohaven Pharmeceutical Holding Co","Health Care","Equity"
"BIG","Big Lots Inc","Consumer Discretionary","Equity"
"BIPC","Brookfield Infrastructure Corp CLA","Utilities","Equity"
"BJ","BJAS Wholesale Club Holdings Inc","Consumer Staples","Equity"
"BJRI","BJs Restaurants Inc","Consumer Discretionary","Equity"
"BKD","Brookdale Senior Living Inc","Health Care","Equity"
"BKE","Buckle Inc","Consumer Discretionary","Equity"
"BKH","Black Hills Corp","Utilities","Equity"
"BKU","Bankunited Inc","Financials","Equity"
"BLBD","Blue Bird Corp","Industrials","Equity"
"BL","Blackline Inc","Information Technology","Equity"
"BLDR","Builders Firstsource Inc","Industrials","Equity"
"BLD","Topbuild Corp","Consumer Discretionary","Equity"
"BLFS","Biolife Solutions Inc","Health Care","Equity"
"BLKB","Blackbaud Inc","Information Technology","Equity"
"BLMN","Bloomin Brands Inc","Consumer Discretionary","Equity"
"BLPH","Bellerophon Therapeutics Inc","Health Care","Equity"
"BLX","Banco Latinoamericano de Comercio","Financials","Equity"
"BMCH","BMC Stock Holdings Inc","Industrials","Equity"
"BMI","Badger Meter Inc","Information Technology","Equity"
"BMII","Marrone Bio Innovations Inc","Materials","Equity"
"BMRC","Bank of Marin Bancorp","Financials","Equity"
"BNFT","Benefitfocus Inc","Information Technology","Equity"
"BOCH","Bank of Commerce Holdings","Financials","Equity"
"BOMN","Boston Omaha Corp Class A","Communication","Equity"
"BOOM","DMC GLobal Inc","Energy","Equity"
"BOOT","Boot Barn Holdings Inc","Consumer Discretionary","Equity"
"BOX","Box Inc Class A","Information Technology","Equity"
"BPFH","Boston Private Financial Holdings","Financials","Equity"
"BPMC","Blueprint Medicines Corp","Health Care","Equity"
"BPRN","The Bank of Princeton","Financials","Equity"
"BRBR","Bellring Brands Inc Class A","Consumer Staples","Equity"
"BRC","Brady Nonvoting Corp Class A","Industrials","Equity"
"BREW","Craft Brew Alliance Inc","Consumer Staples","Equity"
"BRG","Bluerock Residential Growth Reit C","Real Estate","Equity"
"BRID","Bridgford Foods Corp","Consumer Staples","Equity"
"BRKL","Brookline Bancorp Inc","Financials","Equity"
"BRKS","Brooks Automation Inc","Information Technology","Equity"
"BRMK","Broadmark Realty Capital Inc","Financials","Equity"
"BRP","BRP Group Inc Class A","Financials","Equity"
"BRT","BRT Apartments Corp","Real Estate","Equity"
"BRY","Berry","Energy","Equity"
"BSBK","Bogota Financial Corp","Financials","Equity"
"BSGM","Biosig Technologies Inc","Health Care","Equity"
"BSIG","Brightsphere Investment Group Inc","Financials","Equity"
"BSRR","Sierra Bancorp","Financials","Equity"
