"KMT","Kennametal Inc","Industrials","Equity"
"KNX","Knight-Swift","Industrials","Equity"
"KRC","Kilroy Realty Corp","Real Estate","Equity"
"LAMR","Lamar Advertising Company","Real Estate","Equity"
"LANC","Lancaster Colony Corp","Consumer Staples","Equity"
"LGND","Ligand Pharmaceuticals Inc","Health Care","Equity"
"LECO","Lincoln Electric Holdings Inc","Industrials","Equity"
"LFUS","Littefuse Inc","Information Technology","Equity"
"LII","Lennox International Inc","Industrials","Equity"
"LITE","Lumentum Holdings","Information Technology","Equity"
"LIVN","LivaNova","Health Care","Equity"
"RAMP","LiveRamp","Information Technology","Equity"
"LM","Legg Mason Inc","Financials","Equity"
"LOGM","LogMeln","Information Technology","Equity"
"LPT","Liberty Property Trust","Real Estate","Equity"
"LPX","Louisiana-Pacific Corp","Materials","Equity"
"LSI","Life Sotorage Inc","Real Estate","Equity"
"LSTR","Landstar System Inc","Industrials","Equity"
"LYV","Live Nation Entertainment","Communication","Equity"
"MAN","ManpowerGroup","Industrials","Equity"
"MANH","Manhattan Associates Inc","Information Technology","Equity"
"MASI","Masimo","Health Care","Equity"
"MCY","Mercury General Corp","Financials","Equity"
"MD","MEDNAX Inc","Health Care","Equity"
"MDP","Meredith Corp","Communication","Equity"
"MDRX","Allscripts Healthcare Solutions Inc","Health Care","Equity"
"MDSO","Medidata Solutions","Health Care","Equity"
"MDU","MDU Resources Group Inc","Utilities","Equity"
"MKSI","MKS Instruments","Information Technology","Equity"
"MLHR","Miller Herman Inc","Industrials","Equity"
"MMS","Maximus Inc","Information Technology","Equity"
"MOH","Molina Healthcare Inc","Health Care","Equity"
"MPW","Medical Properties Trust Inc","Real Estate","Equity"
"MRCY","Mercury Systems","Industrials","Equity"
"MPWR","Monolithic Power Systems Inc","Information Technology","Equity"
"MSA","MSA Safety Inc","Industrials","Equity"
"MSM","MSC Industrial Direct A","Industrials","Equity"
"MTDR","Matador Resources","Energy","Equity"
"MAT","Mattel","Consumer Discretionary","Equity"
"MTX","Minerals Technologies Inc","Materials","Equity"
"MTZ","MasTec","Industrials","Equity"
"MUR","Murphy Oil","Energy","Equity"
"MUSA","Murphy USA Inc","Consumer Discretionary","Equity"
"NATI","National Instruments Corp","Information Technology","Equity"
"NAVI","Navient Corp","Financials","Equity"
"NCR","NCR Corp","Information Technology","Equity"
"NDSN","Nordson Corp","Industrials","Equity"
"NEU","NewMarket Corporation","Materials","Equity"
"MFG","National Fuel Gas","Utilities","Equity"
"NJR","New Jersey Resources","Utilities","Equity"
"NNN","National Retail Properties Inc","Real Estate","Equity"
"NKTR","Nektar Therapeutics Inc","Health Care","Equity"
"NTCT","NetScout Systems","Information Technology","Equity"
"NUS","Nu Skin Enterprises","Consumer Staples","Equity"
"NUVA","NuVasive Inc","Health Care","Equity"
"NVT","nVent Electric plc","Industrials","Equity"
"NWE","NorthWestern Corporation","Utilities","Equity"
"NYCB","New York Community Bancorp Inc","Financials","Equity"
"NYT","New York Times Company","Communication","Equity"
"OASS","Oasis Petroleum","Energy","Equity"
"ODFL","Old Dominion Freight Line","Industrials","Equity"
"ODP","Office Depot Inc","Consumer Discretionary","Equity"
"OFC","Corporate Office Properties Trust","Real Estate","Equity"
"OGE","OGE Energy Corp","Utilities","Equity"
"OGS","ONE Gas","Utilities","Equity"
"OHI","Omega Healthcare Investors","Real Estate","Equity"
"OII","Oceaneering Intl Inc","Energy","Equity"
"OLED","Universal Display Corporation","Information Technology","Equity"
"OLLI","Ollies Bargain Outlet","Consumer Discretionary","Equity"
"OLN","Olin Corp","Materials","Equity"
"OI","Owens-Illinois","Materials","Equity"
"ORI","Old Republic International","Financials","Equity"
"OSK","Oshkosh Corporation","Industrials","Equity"
"OC","Owens Corning","Industrials","Equity"
"OZK","Bank OZK","Financials","Equity"
"PACW","PacWest Bancorp","Financials","Equity"
"PK","Park Hotels and Resorts","Real Estate","Equity"
"PBF","PBF Energy Inc","Energy","Equity"
"PB","Prosperity Bancshares Inc","Financials","Equity"
"PBH","Prestige Brands Holdings Inc","Health Care","Equity"
"PCH","Potlatch Corp","Real Estate","Equity"
"PDCO","Patterson Companies","Health Care","Equity"
"PEB","Pebblebrook Hotel Trust","Real Estate","Equity"
"PENN","Penn National Gaming","Consumer Discretionary","Equity"
"PEN","Penumbra Inc","Health Care","Equity"
"PPC","Pilgrims Pride","Consumer Staples","Equity"
"PII","Polaris Industries Inc","Consumer Discretionary","Equity"
"PLT","PLantronics Inc","Information Technology","Equity"
"PNFP","Pinnacle Financial Partners","Financials","Equity"
"PNM","PNM Resources","Utilities","Equity"
"POL","PolyOne Corp","Materials","Equity"
"POOL","Pool Corp","Consumer Discretionary","Equity"
"POST","Post Holdings Inc","Consumer Staples","Equity"
"PRAH","PRA Health Sciences","Health Care","Equity"
"PSB","PS Business Parks","Real Estate","Equity"
"PRI","Primerica Inc","Financials","Equity"
"PTC","PTC Inc","Information Technology","Equity"
"PTEN","Patterson-UTI Energy","Energy","Equity"
"PZZA","Papa Johns International Inc","Consumer Discretionary","Equity"
"R","Ryder System","Industrials","Equity"
"RBC","Regal Beloit Corp","Industrials","Equity"
"RGA","Reinsurance Group of America","Financials","Equity"
"RGEN","Repligen","Health Care","Equity"
"RGLD","Royal Gold Inc","Materials","Equity"
"RIG","Transocean","Energy","Equity"
"RNR","RenaissanceRE Holdings Ltd","Financials","Equity"
"ROL","Rollins Inc","Industrials","Equity"
"RPM","RPM International Inc","Materials","Equity"
"RS","Reliance Steel & Aluminum Co","Materials","Equity"
"RYN","Rayonier Inc","Real Estate","Equity"
"SABR","Sabre Corp","Information Technology","Equity"
"SAFM","Sanderson Famrs","Consumer Staples","Equity"
"SAIC","Science Applications Intl Corp","Information Technology","Equity"
"SAM","Boston Beer Company","Consumer Staples","Equity"
"SBH","Sally Beauty Holdings Inc","Consumer Discretionary","Equity"
"SBNY","Signature Bank","Financials","Equity"
"SBRA","Sabra Health Care REIT","Real Estate","Equity"
"SIGI","Selective Insurance Group","Financials","Equity"
"SMTC","Semtech","Information Technology","Equity"
"SCI","Service Corp Intl","Consumer Discretionary","Equity"
"SEIC","SEI Investents Corp","Financials","Equity"
"SF","Stifel Financial Corp","Financials","Equity"
"SFM","Sprouts Farmers Market","Consumer Staples","Equity"
"SGMS","Scientific Games Corporation","Consumer Discretionary","Equity"
"SIX","Six Flags","Consumer Discretionary","Equity"
"SKT","Tanger Factory Outlet Centers Inc","Real Estate","Equity"
"SKX","Skechers USA Inc","Consumer Discretionary","Equity"
"SLAB","Silicon Laboratories Inc","Information Technology","Equity"
"SLGN","Silgan Holdings Inc","Materials","Equity"
"SLM","SLM Corp","Financials","Equity"
"SMG","Scotts Miracle-Gro Company","Materials","Equity"
"SNH","Senior Housing Properties Trust","Real Estate","Equity"
"SNV","Synovus Financial Corp (GA)","Financials","Equity"
"SNX","SYNNEX Corporation","Information Technology","Equity"
"SEDG","SolarEdge","Information Technology","Equity"
"SON","Sonoco Products Co","Materials","Equity"
"SRC","Spirit Realty Capital","Real Estate","Equity"
"STE","STERIS plc","Health Care","Equity"
"STL","Sterling Bancorp","Financials","Equity"
"SRCL","Stericycle","Industrials","Equity"
"STLD","Steel Dynamics Inc","Materials","Equity"
"SVC","Service Properties Trust","Real Estate","Equity"
"SWN","Southwestern Energy Co","Energy","Equity"
"SWX","Southwest Gas Corp","Utilities","Equity"
"SXT","Sensient Technologies Corp","Materials","Equity"
"SYNA","Synaptics","Information Technology","Equity"
"SYNH","Syneos Health","Health Care","Equity"
"TTEK","Tetra Tech","Industrials","Equity"
"TCBI","Texas Capital Bancshares","Financials","Equity"
"TCO","Taubman Centers","Real Estate","Equity"
"TDC","Teradata","Information Technology","Equity"
"TDS","Telephone and Data Systems","Communication","Equity"
"TDY","Teledyne Technologies Inc","Industrials","Equity"
"TECD","Tech Data Corp","Information Technology","Equity"
"TECH","Bio-Techne","Health Care","Equity"
"TER","Teradyne","Information Technology","Equity"
"TEX","Terex Corp","Industrials","Equity"
"TGNA","Tegna Inc","Communication","Equity"
"THC","Tenet Healthcare Corp","Health Care","Equity"
"TGH","Hanover Insurance Group Inc","Financials","Equity"
"THO","Thor Industries Inc","Consumer Discretionary","Equity"
"THS","TreeHouse Foods","Consumer Staples","Equity"
"TKR","Timken Co","Industrials","Equity"
"TOL","Toll Brothers Inc","Consumer Discretionary","Equity"
"TPH","TRI Pointe Group","Consumer Discretionary","Equity"
"TPX","Tempur Sealy International","Consumer Discretionary","Equity"
"TR","Tootsie Roll Industries Inc","Consumer Staples","Equity"
"TREE","LendingTree","Financials","Equity"
"TREX","Trex Company Inc","Industrials","Equity"
"TRMB","Trimble Inc","Information Technology","Equity"
"TRMK","Trustmark Corp","Financials","Equity"
"TRN","Trinity Industries Inc","Industrials","Equity"
"TTC","Toro Company","Industrials","Equity"
"TXRH","Texas Roadhouse","Consumer Discretionary","Equity"
"TYL","Tyler Technologies Inc","Information Technology","Equity"
"UBSI","United Bancshares Inc","Financials","Equity"
"UE","Urban Edge Properties","Real Estate","Equity"
"UFS","Domtar Corp","Materials","Equity"
"UGI","UGI Corp","Utilities","Equity"
"UMBF","UMB Financial Corp","Financials","Equity"
"UMPQ","Umpqua Holdings Corporation","Financials","Equity"
"UNFI","United Natural Foods Inc","Consumer Staples","Equity"
"UTHR","United Therapeutics Corp","Health Care","Equity"
"UNIT","Uniti Group","Real Estate","Equity"
"URBN","Urban Outfitters","Consumer Discretionary","Equity"
"VAC","Marriott Vacations Worldwide","Consumer Discretionary","Equity"
"VC","Visteon","Consumer Discretionary","Equity"
"VLY","Valley National Bancorp","Financials","Equity"
"VMI","Valmont Industries Inc","Industrials","Equity"
"VVV","Valvoline Inc","Materials","Equity"
"VSAT","ViaSat Inc","Information Technology","Equity"
"VSH","Vishay Intertechnology Inc","Information Technology","Equity"
"WRB","WR Berkley Corp","Financials","Equity"
"WAFD","Washington Federal Inc","Financials","Equity"
"WBS","Webster Financial Corp","Financials","Equity"
"WEN","Wendys Company","Consumer Discretionary","Equity"
"WERN","Werner Enterprises Inc","Industrials","Equity"
"WEX","WEX Inc","Information Technology","Equity"
"WOR","Worthington Industries","Materials","Equity"
"WPX","WPX Energy","Energy","Equity"
"WRI","Weingarten Realty Investors","Real Estate","Equity"
"WSM","Williams-Sonoma Inc","Consumer Discretionary","Equity"
"WSO","Watsco Inc","Industrials","Equity"
"WST","West Pharmaceuticals Inc","Health Care","Equity"
"WTFC","Wintrust Financial Corp","Financials","Equity"
"WW","Weight Watchers","Consumer Discretionary","Equity"
"WWD","Woodward Inc","Industrials","Equity"
"WWE","World Wrestling Entertainment","Communication","Equity"
"WYND","Wyndham Destinations","Consumer Discretionary","Equity"
"X","United States Steel Corporation","Materials","Equity"
"Y","Alleghany Corporation","Financials","Equity"
"XPO","XPO Logistics","Industrials","Equity"
"YELP","Yelp","Communication","Equity"
"ZBRA","Zebra Technologies Corp","Information Technology","Equity"
