"Symbol","Name","Sector"
"JBHT","JB Hunt Transport Services","Industrials","Equity"
"SJM","JM Smucker","Consumer Staples","Equity"
"JNJ","Johnson & Johnson","Health Care","Equity"
"JCI","Johnson Controls International","Industrials","Equity"
"JPM","JPMorgan Chase & Co","Financials","Equity"
"JNPR","Juniper Networks","Information Technology","Equity"
"KSU","Kansas City Southern","Industrials","Equity"
"K","Kellogg Co","Consumer Staples","Equity"
"KEY","KeyCorp","Financials","Equity"
"KEYS","Keysight Technologies Inc","Information Technology","Equity"
"KMB","Kimberly-Clark","Consumer Staples","Equity"
"KIM","Kimco Realty","Real Estate","Equity"
"KMI","Kinder Morgran","Energy","Equity"
"KLAC","KLA Corporation","Information Technology","Equity"
"KSS","Kohls Corp","Consumer Discretionary","Equity"
"KHC","Kraft Heinz Co","Consumer Staples","Equity"
"KR","Kroger Co","Consumer Staples","Equity"
"LB","L Brands Inc","Consumer Discretionary","Equity"
"LHX","L3Harris Technologies Inc","Industrials","Equity"
"LH","Laboratory Corp of America Holding","Health Care","Equity"
"LRCX","Lam Research","Information Technology","Equity"
"LW","Lamb Weston Holdings Inc","Consumer Staples","Equity"
"LVS","Las Vegas Sands","Consumer Discretionary","Equity"
"LEG","Leggett & Platt","Consumer Discretionary","Equity"
"LDOS","Leidos Holdings","Information Technology","Equity"
"LEN","Lennar Corp","Consumer Discretionary","Equity"
"LLY","Lilly (Eli) & Co","Health Care","Equity"
"LNC","Lincoln National","Financials","Equity"
"LIN","Linde plc","Materials","Equity"
"LYV","Live Nation Entertainment","Communication","Equity"
"LKQ","LKQ Corporation","Consumer Discretionary","Equity"
"LMT","Lockheed Martin Corp","Industrials","Equity"
"L","Loews Corp","Financials","Equity"
"LOW","Lowes Cos","Consumer Discretionary","Equity"
"LYB","LyondellBasell","Materials","Equity"
"MTB","M&T Bank Corp","Financials","Equity"
"MRO","Marathon Oil Corp","Energy","Equity"
"MKTX","MarketAxess","Financials","Equity"
"MAR","Marriott Intl","Consumer Discretionary","Equity"
"MMC","Marh & McLennan","Financials","Equity"
"MLM","Martin Marietta Materials","Materials","Equity"
"MAS","Masco Corp","Industrials","Equity"
"MA","Mastercard Inc","Information Technology","Equity"
"MKC","McCormick & Co","Consumer Staples","Equity"
"MXIM","Maxim Integrated Products Inc","Information Technology","Equity"
"MCD","McDonald's Corp","Consumer Discretionary","Equity"
"MCK","McKesson Corp","Health Care","Equity"
"MDT","Medtronic plc","Health Care","Equity"
"MRK","Merck & co","Health Care","Equity"
"MET","MetLife Inc","Financials","Equity"
"MTD","Mettler Toledo","Health Care","Equity"
"MGM","MGM Resorts International","Consumer Discretionary","Equity"
"MCHP","Micochip Technology","Information Technology","Equity"
"MU","Micron Technology","Information Technology","Equity"
"MSFT","Microsoft Corp","Information Technology","Equity"
"MAA","Mid-America Apartments","Real Estate","Equity"
"MHK","Mohawk Industries","Consumer Discretionary","Equity"
"TAP","Molson Coors Beverage Company","Consumer Staples","Equity"
"MDLZ","Mondelez International","Consumer Staples","Equity"
"MNST","Monster Beverage","Consumer Staples","Equity"
"MCO","Moodys Corp","Financials","Equity"
"MS","Morgan Stanley","Financials","Equity"
"MOS","The Mosaic Company","Materials","Equity"
"MSI","Motorola Solutions Inc","Information Technology","Equity"
"MSCI","MSCI Inc","Financials","Equity"
"MYL","Mylan NV","Health Care","Equity"
"NDAQ","Nasdaq, Inc","Financials","Equity"
"NOV","National Oilwell Varco Inc","Energy","Equity"
"NTAP","NetApp","Information Technology","Equity"
"NFLX","Netflix Inc","Communication","Equity"
"NWL","Newell Brands","Consumer Discretionary","Equity"
"NEM","Newmont Corporation","Materials","Equity"
"NWSA","News Corp Class A","Communication","Equity"
"NWS","News Corp Class B","Communication","Equity"
"NEE","NextEra Energy","Utilities","Equity"
"NLSN","Nielsen Holdings","Industrials","Equity"
"NKE","Nike Inc","Consumer Discretionary","Equity"
"NI","NiSource Inc","Utilities","Equity"
"NBL","Noble Energy Inc","Energy","Equity"
"NSC","Norfolk Southern Corp","Industrials","Equity"
"NTRS","Northern Trust Corp","Financials","Equity"
"NOC","Northrop Grumman","Industrials","Equity"
"NLOK","Norton LifeLock","Information Technology","Equity"
"NCLH","Norwegian Cruise Line Holdings","Consumer Discretionary","Equity"
"NRG","NRG Energy","Utilities","Equity"
"NUE","Nucor Corp","Materials","Equity"
"NVDA","Nvidia Corporation","Information Technology","Equity"
"NVR","NVR Inc","Consumer Discretionary","Equity"
"ORLY","OReilly Automotive","Consumer Discretionary","Equity"
"OXY","Occidental Petroleum","Energy","Equity"
"ODFL","Old Dominion Freight Line","Industrials","Equity"
"OMC","Omnicom Group","Communication","Equity"
"OKE","ONEOK","Energy","Equity"
"ORCL","Oracle Corp","Information Technology","Equity"
"OTIS","Otis Worldwide","Industrials","Equity"
"PCAR","Paccar Inc","Industrials","Equity"
"PKG","Packaging Corporation of America","Materials","Equity"
"PH","Parker-Hannafin","Industrials","Equity"
"PAYX","Paychex Inc","Information Technology","Equity"
"PAYC","Paycom","Information Technology","Equity"
"PYPL","PayPal","Information Technology","Equity"
"PNR","Pentair plc","Industrials","Equity"
"PBCT","Peoples United Financial","Financials","Equity"
"PEP","PepsiCo Inc","Consumer Staples","Equity"
"PKI","PerkinElmer","Health Care","Equity"
"PRGO","Perrigo","Health Care","Equity"
"PFE","Pfizer Inc","Health Care","Equity"
"PM","Philip Morris International","Consumer Staples","Equity"
"PSX","Phillips 66","Energy","Equity"
"PNW","Pinnacle West Capital","Utilities","Equity"
"PXD","Pioneer Natural Resources","Energy","Equity"
"PNC","PNC Financial Services","Financials","Equity"
"PPG","PPG Industries","Materials","Equity"
"PPL","PPL Corp","Utilities","Equity"
"PFG","Principal Financial Group","Financials","Equity"
"PG","Procter & Gamble","Consumer Staples","Equity"
"PGR","Progressive Corp","Financials","Equity"
"PLD","Prologis","Real Estate","Equity"
"PRU","Prudential Financial","Financials","Equity"
"PEG","Public Service Enterprise Group","Utilities","Equity"
"PSA","Public Sortage","Real Estate","Equity"
"PHM","PulteGroup","Consumer Discretionary","Equity"
